2022-05-23 14:03:49.431 [main] INFO  entidadbancaria.CrearCuentaCliente - la primera cuenta tiene un saldo de  $entidadbancaria.Cuenta@609bcfb6
2022-05-23 14:03:49.435 [main] INFO  entidadbancaria.CrearCuentaCliente - referencia en espacio de memoria de ejava para el nuevo objeto entidadbancaria.Cuenta@52815fa3
2022-05-23 14:05:00.355 [main] INFO  entidadbancaria.CrearCuentaCliente - la primera cuenta tiene un saldo de  $1000.0
2022-05-23 14:05:00.361 [main] INFO  entidadbancaria.CrearCuentaCliente - referencia en espacio de memoria de ejava para el nuevo objeto entidadbancaria.Cuenta@329dbdbf
2022-05-23 14:07:43.435 [main] INFO  entidadbancaria.CrearCuentaCliente - la primera cuenta tiene un saldo de  $1000.0
2022-05-23 14:07:43.450 [main] INFO  entidadbancaria.CrearCuentaCliente -  
2022-05-23 14:07:43.450 [main] INFO  entidadbancaria.CrearCuentaCliente - la segunda cuenta tiene un saldo de $500.0
2022-05-23 14:07:43.450 [main] INFO  entidadbancaria.CrearCuentaCliente - referencia en espacio de memoria de ejava para el nuevo objeto entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:08:58.222 [main] INFO  entidadbancaria.CrearCuentaCliente - la primera cuenta tiene un saldo de $1000.0
2022-05-23 14:08:58.233 [main] INFO  entidadbancaria.CrearCuentaCliente -  
2022-05-23 14:08:58.233 [main] INFO  entidadbancaria.CrearCuentaCliente - la segunda cuenta tiene un saldo de $500.0
2022-05-23 14:08:58.233 [main] INFO  entidadbancaria.CrearCuentaCliente - referencia en espacio de memoria de ejava para el nuevo objeto entidadbancaria.Cuenta@329dbdbf
2022-05-23 14:34:49.565 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:34:49.571 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:36:10.642 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:36:10.642 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:36:10.642 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:36:10.642 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:40:29.879 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:40:29.879 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:40:29.879 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:40:29.879 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:40:29.879 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:40:29.879 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuentaentidadbancaria.Cuenta@7354b8c5
2022-05-23 14:40:29.894 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuentaentidadbancaria.Cuenta@7354b8c5
2022-05-23 14:42:20.742 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:42:20.742 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:42:20.742 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:42:20.742 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:42:20.742 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:42:20.758 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:42:20.758 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:42:38.225 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:42:38.225 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:42:38.225 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:42:38.241 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:42:38.241 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:42:38.241 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:42:38.241 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:46:02.265 [main] INFO  entidadbancaria.TestReferencia1 - son el mismo objeto ? 
2022-05-23 14:47:06.591 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:47:06.595 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:47:06.595 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:47:06.595 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:47:06.595 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:47:06.597 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:47:06.597 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:47:06.598 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:47:06.598 [main] INFO  entidadbancaria.TestReferencia1 - son el mismo objeto
2022-05-23 14:49:01.685 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:49:01.700 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:49:01.700 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:49:01.700 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:49:01.700 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:49:01.700 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:49:01.700 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:49:01.700 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:49:01.716 [main] INFO  entidadbancaria.TestReferencia1 - 500.0
2022-05-23 14:49:01.716 [main] INFO  entidadbancaria.TestReferencia1 - son el mismo objeto
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $100.0
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la segunda cuenta $100.0
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - Saldo de la primera cuenta $500.0
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria primera cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - espacio en memoria de la segunda cuenta ... entidadbancaria.Cuenta@7354b8c5
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - 
2022-05-23 14:50:31.821 [main] INFO  entidadbancaria.TestReferencia1 - son el mismo objeto
